,에너지(cal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),,흑미,현미,보리,차조,기장,율무,수수,찹쌀,적두,서리태
114,144.9452055,31.38383562,2.924383562,0.538493151,0.027671233,0.91369863,127.1506849,,17.80821918,30.1369863,26.02739726,2.739726027,2.739726027,0,2.739726027,13.69863014,0,4.109589041
115,145.8433735,31.53228916,2.934457831,0.572409639,0.028192771,0.9,74.60240964,,30.12048193,26.5060241,13.25301205,2.409638554,2.409638554,0,2.409638554,14.45783133,2.409638554,6.024096386
116,152.26,33.1642,3.0436,0.5382,0.05,0.98,182,,4,16,30,0,20,0,20,10,0,0
117,154.2765957,33.35340426,3.047659574,0.616595745,0.010638298,0.785106383,102.0425532,,14.89361702,53.19148936,21.27659574,4.255319149,6.382978723,0,0,0,0,0
118,153.5714286,32.96285714,3.012857143,0.734285714,0,0.8,2,,14.28571429,85.71428571,0,0,0,0,0,0,0,0
119,148.358209,32.16537313,3.001791045,0.548656716,0.033283582,0.958208955,184.0746269,,0,44.7761194,37.31343284,0,2.985074627,0,5.970149254,5.970149254,0,2.985074627
120,132.76,28.9454,2.7099,0.3901,0.0546,0.999,144.14,,10,0,25,0,10,0,10,40,2,3
121,134.875,29.328125,2.751875,0.424375,0.034375,0.9375,174.3125,,31.25,0,37.5,0,0,0,0,31.25,0,0
122,160.9411765,35.12647059,3.201568627,0.578235294,0.059803922,1.009803922,208.0196078,,9.803921569,0,31.37254902,0,29.41176471,0,29.41176471,0,0,0
123,148.8051948,32.22974026,2.991298701,0.567142857,0.020779221,0.883116883,162.4415584,,29.87012987,28.57142857,35.06493506,0,0,0,0,6.493506494,0,0
124,134.597561,29.10487805,2.708658537,0.496585366,0.024390244,0.897560976,75.43902439,,20.73170732,30.48780488,15.85365854,0,0,0,0,32.92682927,0,0
125,150.5454545,32.44511364,3.032272727,0.6375,0.020227273,0.921590909,94.04545455,,7.954545455,62.5,19.31818182,0,0,0,2.272727273,0,0,7.954545455
126,131.0555556,28.36444444,2.647222222,0.46,0.027777778,0.911111111,79.33333333,,16.66666667,27.77777778,16.66666667,0,0,0,0,38.88888889,0,0
127,136.6111111,29.51388889,2.741111111,0.515,0.022222222,0.888888889,79,,0,55.55555556,16.66666667,0,0,0,0,27.77777778,0,0
128,138.5,29.986875,2.791875,0.503125,0.025,0.9,117,,18.75,31.25,25,0,0,0,0,25,0,0
129,139,29.895,2.755,0.595,0.0125,0.85,2.75,,0,75,0,0,0,0,0,25,0,0
130,115.4782609,25.01402174,2.352717391,0.36076087,0.041847826,0.980434783,11.4673913,,16.30434783,4.347826087,0,4.347826087,0,0,4.347826087,70.65217391,0,0
131,151.859375,33.10953125,3.03359375,0.52703125,0.05546875,0.9984375,180.828125,,0,12.5,28.125,0,23.4375,0,23.4375,12.5,0,0
132,153,32.83,3,0.73,0,0.8,2,,0,100,0,0,0,0,0,0,0,0
133,137.8148148,29.92382716,2.798765432,0.455925926,0.030864198,0.92345679,172,,12.34567901,25.92592593,37.03703704,0,0,0,0,24.69135802,0,0
134,151.5714286,32.97357143,3.077857143,0.517857143,0.028571429,0.914285714,263.1428571,,35.71428571,7.142857143,57.14285714,0,0,0,0,0,0,0
135,138.5666667,29.9885,2.790166667,0.5095,0.024166667,0.896666667,109.3833333,,18.33333333,33.33333333,23.33333333,0,0,0,0,25,0,0
136,144.375,31.35775,2.904,0.49825,0.0325,0.91,161.7,,10,25,32.5,5,5,0,5,17.5,0,0
137,155.65,33.9505,3.1095,0.4745,0.025,0.785,234.9,,25,0,50,15,10,0,0,0,0,0
138,149.49,32.3561,2.9702,0.5738,0.0155,0.813,110.43,,25,37,23,0,7,0,0,8,0,0
139,154.9189189,33.73891892,3.064594595,0.624864865,0.078378378,1.143243243,95.67567568,,0,0,0,0,35.13513514,0,45.94594595,18.91891892,0,0
140,164.6666667,35.75666667,3.22,0.703333333,0.05,0.966666667,73,,33.33333333,0,0,0,33.33333333,0,33.33333333,0,0,0
141,150.9777778,32.54433333,3.036888889,0.636,0.019777778,0.912222222,92,,7.777777778,61.11111111,18.88888889,2.222222222,0,0,2.222222222,0,0,7.777777778
142,147.2285714,31.98942857,2.985142857,0.498571429,0.028571429,0.914285714,237.2,,0,42.85714286,51.42857143,0,0,0,0,5.714285714,0,0
143,141.8235294,30.75117647,2.865882353,0.500588235,0.026470588,0.905882353,163.8235294,,11.76470588,35.29411765,35.29411765,0,0,0,0,17.64705882,0,0
144,150.1578947,32.38434211,3.037368421,0.622894737,0.023421053,0.940789474,108.5789474,,9.210526316,56.57894737,22.36842105,0,0,0,2.631578947,0,0,9.210526316
145,134.6031746,29.15730159,2.720793651,0.47,0.027777778,0.911111111,111.7619048,,14.28571429,30.15873016,23.80952381,0,0,0,0,31.74603175,0,0
146,129.6833333,28.03933333,2.6145,0.464,0.026666667,0.906666667,56.56666667,,15,31.66666667,11.66666667,0,0,0,0,41.66666667,0,0
147,132.9305556,28.80486111,2.691111111,0.454583333,0.029166667,0.916666667,110.9444444,,13.88888889,27.77777778,23.61111111,0,0,0,0,34.72222222,0,0
